Time(Iteration),	Random,LinUCB,Arm-Con,ConUCB,HUCB
 9.51404309 , 15.47652939 , 15.47652939 , 15.47652939 , 5.85058986 
 97.27937255 , 30.35964754 , 36.66848541 , 61.40290568 , 71.87536777 
 168.91801074 , 49.42281683 , 42.09435933 , 99.94654056 , 105.72514173 
 240.44661551 , 76.01774935 , 42.46537399 , 125.00037758 , 124.72208047 
 319.07955421 , 77.13079336 , 42.46537399 , 156.65582098 , 135.91774771 
 388.14929597 , 77.13079336 , 42.46537399 , 172.11669469 , 147.15891086 
 477.54695773 , 77.13079336 , 42.46537399 , 187.24693958 , 151.47039065 
 554.57632363 , 81.7014575 , 42.46537399 , 188.41869532 , 155.6715663 
 624.81943216 , 81.7014575 , 42.46537399 , 188.41869532 , 160.43281052 
 705.03267753 , 82.07247217 , 42.46537399 , 188.41869532 , 164.73728824 
 784.71967378 , 82.07247217 , 42.46537399 , 188.41869532 , 164.73728824 
 880.70186074 , 82.07247217 , 42.46537399 , 188.78970999 , 164.73728824 
 969.70096362 , 82.07247217 , 42.83638866 , 188.78970999 , 164.73728824 
 1061.00878428 , 82.07247217 , 42.83638866 , 188.78970999 , 165.10830291 
 1135.77571157 , 82.07247217 , 42.83638866 , 188.78970999 , 165.10830291 
 1224.10520836 , 82.07247217 , 42.83638866 , 205.48875947 , 165.10830291 
 1303.96811843 , 82.07247217 , 42.83638866 , 205.48875947 , 165.10830291 
 1390.55745092 , 82.07247217 , 42.83638866 , 205.48875947 , 165.10830291 
 1476.24885355 , 82.07247217 , 42.83638866 , 205.48875947 , 165.10830291 
 1554.84065785 , 82.07247217 , 42.83638866 , 205.48875947 , 165.10830291 
 1626.76507533 , 82.44348684 , 42.83638866 , 205.48875947 , 165.10830291 
 1704.62103938 , 82.44348684 , 42.83638866 , 205.48875947 , 165.10830291 
 1781.606911 , 82.44348684 , 42.83638866 , 205.48875947 , 169.88433789 
 1867.83250046 , 82.44348684 , 42.83638866 , 205.48875947 , 169.88433789 
 1950.29248499 , 82.81450151 , 42.83638866 , 205.48875947 , 169.88433789 
 2036.48766644 , 82.81450151 , 42.83638866 , 205.48875947 , 169.88433789 
 2112.53725539 , 82.81450151 , 42.83638866 , 205.48875947 , 169.88433789 
 2195.10265083 , 82.81450151 , 42.83638866 , 205.48875947 , 170.25535256 
 2277.99552299 , 82.81450151 , 42.83638866 , 205.48875947 , 170.25535256 
 2368.9772933 , 82.81450151 , 42.83638866 , 205.85977414 , 170.25535256 
