Time,LinUCB,Arm-Con,ConUCB,HUCB
0,1520.125964,1520.125964,1520.125964,1566.35854
10,11283.41888,6607.617152,14516.73229,12457.54517
20,16308.00484,8452.028556,26611.67781,19345.75378
30,19013.67864,9889.988525,36042.26182,23057.26219
40,20759.38298,11274.26364,42661.72084,24910.49428
50,22188.0419,12575.68189,45622.28158,26002.16173
60,23547.99992,13797.29294,54218.13595,26956.54596
70,24821.07444,14993.46505,54989.47204,27618.62282
80,26063.0858,16170.34434,55195.34294,28160.57076
90,27272.9836,17357.07987,55310.35781,28640.14143
100,28456.95509,18532.40478,55421.91654,28982.50549
110,29606.06822,19695.4412,55505.6552,29329.72547
120,30749.34792,20866.56944,55573.45476,29648.75054
130,31897.1757,21999.81545,55670.32043,29953.78714
140,33018.99145,23134.08005,55736.85285,30191.50379
150,34136.63468,24272.97178,61036.4658,30404.18789
160,35218.46218,25398.51597,61916.22475,30560.53366
170,36294.24434,26518.64393,61961.39804,30690.73846
180,37358.28741,27636.14004,61989.7965,30890.9146
190,38418.64733,28765.09147,62025.13148,31067.06201
200,39538.29467,29891.29052,62058.79744,31270.26078
210,40626.98877,31026.41552,62076.59755,31396.38536
220,41687.89042,32175.3511,62101.10022,31517.22761
230,42736.07031,33313.00976,62124.34134,31625.42934
240,43771.81984,34443.71849,62144.81976,31735.10722
250,44805.94071,35571.46256,62163.61475,31833.78253
260,45837.86884,36691.15791,62188.90016,31942.73675
270,46874.11895,37836.63753,62214.12622,32079.5586
280,47945.54782,38956.43068,62233.72572,32195.71956
290,48965.66296,40070.89973,62248.78444,32297.06417
